nbCamions 308
Id_truck Arrival_time Length Width Height Max_weight Cost
0 12 135 25 29 24000 1500
1 19 135 25 29 24000 1500
2 29 135 25 29 25000 1500
3 29 135 25 29 25000 1500
4 42 135 25 29 25000 1500
5 33 135 25 29 24000 1500
6 16 135 25 29 25000 1500
7 43 135 25 30 24000 1500
8 33 135 25 26 24000 1500
9 7 135 25 29 24000 1500
10 19 135 25 28 24000 1500
11 28 135 25 29 24000 1500
12 27 135 25 29 24000 1500
13 38 135 25 30 24000 1500
14 47 135 25 29 24000 1500
15 22 135 25 30 24000 1500
16 40 135 25 28 24000 1500
17 15 135 25 29 24000 1500
18 19 135 25 29 24000 1500
19 5 135 25 29 24000 1500
20 9 135 25 30 24000 1500
21 30 135 25 29 24000 1500
22 35 135 25 29 24000 1500
23 12 135 25 29 24000 1500
24 33 135 25 29 24000 1500
25 30 135 25 30 24000 1500
26 40 135 25 29 24000 1500
27 40 135 25 29 24000 1500
28 8 135 25 29 24000 1500
29 38 135 25 29 24000 1500
30 21 135 25 29 25000 1500
31 6 135 25 26 24000 1500
32 14 135 25 29 24000 1500
33 9 135 25 29 24000 1500
34 12 135 25 29 25000 1500
35 42 135 25 29 24000 1500
36 36 135 25 28 24000 1500
37 26 135 25 29 24000 1500
38 34 135 25 29 24000 1500
39 42 135 25 29 24000 1500
40 34 135 25 29 24000 1500
41 7 135 25 29 25000 1500
42 10 135 25 29 24000 1500
43 35 135 24 30 24000 1500
44 28 135 25 26 24000 1500
45 23 135 25 29 24000 1500
46 44 135 25 29 24000 1500
47 34 135 25 30 24000 1500
48 13 135 25 29 25000 1500
49 35 135 25 29 24000 1500
50 36 135 25 29 24000 1500
51 15 135 25 29 24000 1500
52 13 135 25 29 25000 1500
53 45 135 25 29 24000 1500
54 35 135 25 30 24000 1500
55 43 135 25 29 24000 1500
56 42 135 25 30 24000 1500
57 12 135 25 26 24000 1500
58 15 135 25 28 24000 1500
59 1 135 25 29 24000 1500
60 47 135 25 29 24000 1500
61 47 135 25 29 24000 1500
62 8 135 25 29 25000 1500
63 8 135 25 29 25000 1500
64 42 135 24 30 24000 1500
65 8 135 25 29 24000 1500
66 30 135 25 29 24000 1500
67 41 135 25 26 24000 1500
68 47 135 25 30 24000 1500
69 6 135 25 29 24000 1500
70 19 135 25 26 24000 1500
71 22 135 25 29 25000 1500
72 22 135 25 29 25000 1500
73 12 135 25 29 24000 1500
74 21 135 25 29 24000 1500
75 9 135 25 29 25000 1500
76 23 135 25 26 24000 1500
77 19 135 25 29 24000 1500
78 26 135 25 29 24000 1500
79 40 135 25 29 24000 1500
80 36 135 25 29 25000 1500
81 36 135 25 29 25000 1500
82 23 135 25 30 24000 1500
83 37 135 25 26 24000 1500
84 28 135 25 29 24000 1500
85 21 135 25 29 24000 1500
86 12 135 25 28 24000 1500
87 40 135 25 26 24000 1500
88 17 135 25 29 25000 1500
89 44 135 25 26 24000 1500
90 41 135 25 29 25000 1500
91 41 135 25 29 25000 1500
92 16 135 25 29 24000 1500
93 33 135 25 29 24000 1500
94 12 135 25 29 24000 1500
95 35 135 25 29 24000 1500
96 16 135 25 29 24000 1500
97 19 135 25 26 24000 1500
98 37 135 25 30 24000 1500
99 7 135 24 30 24000 1500
100 43 135 25 29 25000 1500
101 43 135 25 29 25000 1500
102 40 135 25 29 24000 1500
103 5 135 25 29 24000 1500
104 20 135 25 29 25000 1500
105 20 135 25 29 25000 1500
106 14 135 25 29 24000 1500
107 47 135 25 29 24000 1500
108 7 135 25 26 24000 1500
109 16 135 25 29 24000 1500
110 37 135 25 29 24000 1500
111 42 135 25 29 24000 1500
112 19 135 25 29 24000 1500
113 19 135 25 29 24000 1500
114 16 135 25 29 24000 1500
115 36 135 25 29 24000 1500
116 23 135 25 29 24000 1500
117 31 135 25 29 24000 1500
118 22 135 25 29 24000 1500
119 40 135 25 26 24000 1500
120 21 135 24 30 24000 1500
121 14 135 24 30 24000 1500
122 37 135 25 29 24000 1500
123 8 135 25 28 24000 1500
124 20 135 25 30 24000 1500
125 40 135 25 29 25000 1500
126 27 135 25 26 24000 1500
127 37 135 25 29 24000 1500
128 28 135 24 30 24000 1500
129 24 135 25 29 25000 1500
130 21 135 25 30 24000 1500
131 26 135 25 29 24000 1500
132 17 135 25 29 24000 1500
