nbObjets 7733
Id_item Supplier_code Length Width Height Weight Stackability_code Earliest_arrival_time Latest_arrival_time Inventory_cost
0 4 12 10 4 31 11 7 13 840
1 7 12 10 9 238 19 50 55 570
2 58 12 10 9 186 19 27 50 510
3 68 12 10 11 208 11 22 27 750
4 27 12 11 9 269 22 6 13 540
5 39 18 12 14 544 4 13 19 180
6 83 12 10 11 259 11 28 53 3330
7 54 8 6 5 119 13 63 68 60
8 15 12 10 9 240 19 6 11 330
9 81 12 10 9 243 19 70 75 2610
10 66 12 10 9 80 26 54 57 30
11 54 12 10 9 314 19 21 26 180
12 81 12 10 9 249 19 56 61 1170
13 68 12 10 11 208 11 28 53 750
14 41 12 10 5 120 11 56 61 3420
15 64 12 10 11 277 11 74 77 840
16 54 12 10 5 330 11 56 61 4020
17 91 11 11 5 72 37 54 57 90
18 44 12 10 9 776 19 67 70 1080
19 7 12 10 9 210 19 69 74 300
20 37 12 10 9 253 19 70 76 150
21 27 18 11 8 320 9 67 74 210
22 7 12 10 9 157 19 67 70 120
23 22 12 10 10 158 11 63 68 1080
24 88 22 14 9 1373 20 53 54 5610
25 61 11 9 3 53 41 53 56 2370
26 49 12 10 9 236 19 67 70 480
27 77 12 10 9 462 19 69 74 150
28 88 22 14 8 958 20 28 29 4920
29 33 16 12 9 200 21 67 70 150
30 51 12 10 7 408 11 71 76 1320
31 7 24 12 9 365 3 25 28 90
32 45 12 10 13 101 11 54 57 480
33 51 12 10 9 459 11 15 20 1440
34 47 12 10 7 66 11 15 20 1320
35 75 16 12 9 164 21 13 50 60
36 91 12 10 11 357 11 57 62 870
37 68 12 10 11 208 11 18 21 750
38 63 12 10 9 950 19 67 70 900
39 41 12 10 13 212 11 7 12 3120
40 35 12 10 9 316 19 6 13 180
41 88 22 14 8 958 20 22 25 4920
42 75 16 12 9 163 21 7 26 60
43 7 16 12 9 199 21 26 29 120
44 77 12 10 2 137 11 71 76 690
45 20 12 10 13 143 11 61 64 2070
46 54 12 10 3 36 11 61 64 1200
47 16 16 12 14 255 12 70 75 420
48 37 12 10 11 662 11 7 13 990
49 29 12 10 9 129 19 64 71 180
50 91 12 10 11 357 11 68 71 870
51 58 12 10 9 103 26 15 20 330
52 66 12 10 10 99 11 13 19 60
53 68 12 10 11 251 11 67 70 690
54 51 12 10 9 439 11 15 20 900
55 68 12 10 9 180 19 8 13 480
56 16 16 12 14 257 12 53 56 270
57 64 16 12 9 225 21 20 25 300
58 73 16 12 9 386 21 74 77 330
59 42 19 12 14 585 16 74 77 1620
60 16 12 10 9 214 19 19 22 60
61 13 12 10 11 182 11 68 75 540
62 17 19 12 7 562 5 27 50 360
63 45 12 10 13 188 11 69 74 1020
64 81 12 10 9 243 19 11 15 2610
65 45 12 10 13 179 11 76 81 4560
66 47 12 10 10 140 11 11 15 540
