nbObjets 10324
Id_item Supplier_code Length Width Height Weight Stackability_code Earliest_arrival_time Latest_arrival_time Inventory_cost
0 22 12 10 9 671 17 3 6 310
1 52 12 10 4 52 7 22 25 300
2 69 12 10 13 236 7 27 57 100
3 59 12 10 11 259 7 20 24 220
4 115 7 5 4 83 29 22 25 10
5 33 12 10 3 151 7 53 53 1140
6 39 12 10 9 181 17 20 24 70
7 36 12 10 4 52 7 16 19 670
8 77 12 10 9 341 17 12 16 100
9 39 16 12 9 174 21 15 18 20
10 41 12 10 11 261 7 25 57 250
11 63 12 10 9 542 17 17 20 90
12 36 12 10 13 176 7 8 11 170
13 39 12 10 9 66 25 12 16 10
14 121 12 10 9 138 17 19 23 10
15 40 12 10 9 209 17 20 24 40
16 36 12 10 4 64 7 22 25 630
17 36 12 10 13 192 7 20 24 2400
18 79 12 10 10 175 7 26 54 110
19 36 12 10 4 83 7 11 15 1020
20 20 12 10 9 357 17 19 23 370
21 115 12 10 9 925 17 19 23 200
22 47 13 11 9 336 15 6 8 170
23 69 12 10 9 133 17 18 22 10
24 22 12 10 9 675 17 3 6 340
25 69 12 10 9 152 17 9 12 20
26 32 12 10 4 35 7 18 22 270
27 93 12 10 9 422 17 24 27 350
28 39 12 10 9 136 17 9 12 10
29 120 12 10 9 102 25 56 57 60
30 46 12 10 9 137 17 16 19 90
31 69 12 10 4 47 7 18 22 60
32 36 12 10 4 63 7 18 22 630
33 36 12 10 4 73 7 13 17 1480
34 39 16 12 9 169 21 15 18 10
35 40 16 12 7 173 21 10 13 130
36 69 12 10 13 236 7 23 26 100
37 36 12 10 7 107 7 15 18 1260
38 115 7 5 4 166 29 20 24 30
39 36 12 10 13 196 7 16 19 2520
40 105 12 10 10 145 7 20 24 90
41 121 12 10 4 40 7 13 17 60
42 79 12 10 5 63 7 12 16 400
43 69 12 10 9 148 17 19 23 10
44 38 12 10 7 91 7 3 9 540
45 121 12 10 4 88 7 13 17 100
46 59 12 10 9 193 17 27 57 40
47 115 7 5 4 142 29 24 27 20
48 54 12 10 9 167 17 22 25 30
49 115 7 5 4 142 29 18 22 20
50 26 12 10 11 445 7 23 53 320
51 39 12 10 13 110 7 1 4 20
52 36 12 10 4 63 7 12 16 640
53 67 12 10 9 317 17 20 26 90
54 74 12 10 7 283 17 12 16 30
55 123 12 10 11 616 7 12 15 430
56 40 12 10 9 297 17 15 18 90
57 72 12 10 10 207 7 15 18 690
58 120 12 10 9 106 25 23 26 70
59 36 12 10 4 78 7 9 12 2120
60 76 12 10 4 73 7 19 23 1000
61 72 12 10 10 207 7 8 11 690
62 36 12 10 4 64 7 18 22 630
63 92 17 10 13 830 23 4 8 120
64 36 12 10 13 192 7 9 12 2400
65 64 12 10 9 387 17 16 19 70
66 115 7 5 4 155 29 22 25 30
67 39 12 10 9 110 25 2 5 40
68 59 12 10 3 27 7 23 26 980
69 39 12 10 9 89 25 19 23 30
70 44 12 10 3 33 7 22 25 350
71 121 12 10 4 57 7 9 12 220
72 39 12 10 9 134 17 9 12 10
73 84 12 10 9 142 17 22 23 40
74 115 7 5 4 199 29 20 24 30
75 22 12 10 9 592 17 23 26 320
76 115 7 5 4 94 29 27 57 20
77 118 13 11 12 373 22 13 17 60
78 40 16 12 7 173 21 12 16 130
79 82 12 10 9 183 17 11 15 50
80 39 12 10 13 111 7 6 10 30
81 20 12 10 9 357 17 8 11 370
82 111 12 10 9 81 25 5 9 30
83 39 16 12 9 193 21 22 25 10
84 39 12 10 7 102 7 9 12 640
85 38 12 10 10 131 7 13 19 80
86 39 12 10 13 101 7 15 18 60
87 60 12 10 7 122 17 22 25 30
88 13 12 10 9 317 17 18 22 280
89 39 12 10 3 29 7 26 54 100
90 69 12 10 11 143 7 8 11 30
91 69 12 10 9 135 17 2 5 10
92 36 12 10 10 220 7 15 18 510
93 36 12 10 4 70 7 15 18 930
94 113 13 12 13 344 9 5 9 340
95 69 12 10 9 133 17 12 16 10
96 78 11 11 12 220 33 27 57 60
97 121 12 10 4 66 7 13 17 240
98 69 12 10 9 201 17 8 11 60
99 115 7 5 4 328 29 19 23 40
100 120 12 10 9 106 25 24 27 70
101 106 12 10 7 1150 31 11 15 230
102 121 12 10 7 77 7 8 11 40
103 63 12 10 9 421 17 6 10 70
104 39 12 10 13 149 7 16 19 70
105 40 12 10 9 209 17 9 12 40
106 39 12 10 13 111 7 17 20 30
107 122 12 10 11 430 7 18 22 330
108 56 12 10 9 406 17 8 11 180
109 69 12 10 6 555 7 8 11 620
110 66 12 10 6 353 7 24 54 220
111 121 12 10 13 135 7 10 13 80
112 101 13 11 13 318 22 12 16 110
113 30 12 10 4 71 7 12 18 560
114 69 12 10 9 149 17 6 10 20
115 39 12 10 9 149 17 5 9 10
116 39 12 10 2 45 7 26 55 420
117 84 12 10 9 142 17 54 57 40
118 47 13 11 9 336 15 11 12 170
119 69 12 10 9 140 17 6 10 30
120 45 16 12 9 351 21 9 12 160
121 113 13 12 13 329 9 9 12 170
122 64 12 10 9 387 17 17 20 70
123 69 12 10 9 134 17 9 12 10
124 36 12 10 4 77 7 15 18 940
125 79 12 10 10 171 7 12 16 210
126 47 13 12 13 295 14 11 12 380
127 115 7 5 4 118 29 22 25 20
128 69 12 10 13 155 7 20 24 20
129 40 12 10 10 126 7 6 10 40
130 99 12 10 10 92 7 10 16 70
131 39 12 10 13 156 7 16 19 50
132 43 11 11 6 101 28 23 26 980
133 47 13 11 9 308 15 16 17 90
134 121 12 10 9 141 17 13 17 20
135 39 12 10 9 70 25 15 18 10
136 82 12 10 9 192 17 16 19 40
137 39 12 10 13 145 7 27 57 70
138 115 7 5 4 373 29 19 23 50
139 120 12 10 9 102 25 15 18 70
140 39 12 10 13 124 7 11 15 30
141 115 7 5 4 96 29 19 23 20
142 64 16 12 9 664 21 22 25 220
143 59 16 12 9 230 21 4 8 40
144 120 12 10 9 102 25 6 10 60
145 69 16 12 9 173 21 22 25 10
146 36 12 10 13 184 7 15 18 2520
147 36 12 10 4 61 7 9 12 630
148 11 12 10 9 212 17 15 20 130
149 69 12 10 9 157 17 26 54 10
150 36 12 10 4 81 7 27 57 1480
151 36 12 10 4 62 7 23 26 600
152 121 16 12 9 157 21 2 5 10
153 120 12 10 9 102 25 18 22 60
154 28 12 10 11 100 7 6 10 3000
155 60 12 10 9 253 17 15 18 50
156 40 12 10 11 186 7 5 9 160
157 40 16 12 9 119 26 5 9 50
158 69 12 10 13 200 7 19 23 20
159 47 13 11 9 308 15 11 12 90
160 69 12 10 13 234 7 18 22 50
161 43 12 10 2 29 7 16 19 6930
162 111 12 10 9 81 25 6 10 30
163 46 12 10 3 59 7 18 22 1120
164 22 12 10 9 646 17 8 11 330
165 39 16 12 9 169 21 23 26 10
166 123 12 10 11 696 7 5 8 470
167 99 12 10 4 45 7 6 12 110
168 60 12 10 7 122 17 8 11 30
169 59 16 12 9 230 21 5 9 40
170 121 16 12 9 102 26 5 9 20
171 121 12 10 10 140 7 22 25 30
172 86 12 10 3 25 7 16 19 290
173 24 12 10 4 40 7 26 54 360
174 69 12 10 4 22 7 20 24 90
175 67 12 10 9 297 17 13 19 80
176 60 12 10 9 253 17 19 23 50
177 76 12 10 4 69 7 23 26 250
178 117 12 10 5 458 7 11 11 1610
179 76 12 10 7 134 7 12 16 1700
180 76 12 10 4 83 7 19 23 170
181 121 12 10 5 83 7 3 6 540
182 69 12 10 13 205 7 2 5 30
183 28 12 10 10 146 7 20 24 640
184 115 12 10 9 301 17 22 25 30
185 39 16 12 9 178 21 6 10 20
186 24 12 10 4 62 7 9 12 760
187 39 12 10 9 137 17 1 4 10
188 60 12 10 9 243 17 9 12 80
189 36 12 10 4 104 7 11 15 880
190 22 12 10 9 645 17 15 18 340
191 34 12 10 5 383 7 9 9 9090
192 8 13 9 12 369 36 22 22 130
193 121 12 10 10 122 7 4 8 80
194 69 16 12 9 173 21 6 10 10
195 1 19 12 7 218 2 12 16 120
