nbCamions 237
Id_truck Number_of_suppliers Supplier_code
0 1 12
1 1 11
2 1 11
3 1 11
4 1 11
5 1 4
6 1 8
7 1 12
8 1 8
9 1 1
10 1 8
11 1 8
12 1 11
13 1 11
14 1 9
15 1 1
16 1 11
17 1 4
18 1 7
19 1 4
20 1 8
21 1 11
22 1 8
23 1 1
24 1 2
25 1 4
26 1 1
27 1 9
28 1 7
29 1 12
30 1 8
31 1 4
32 1 2
33 1 11
34 1 8
35 1 8
36 1 11
37 1 3
38 1 4
39 1 12
40 1 4
41 1 4
42 1 12
43 1 11
44 1 12
45 1 2
46 1 5
47 1 8
48 1 11
49 1 11
50 1 11
51 1 3
52 1 4
53 1 11
54 1 7
55 1 11
56 1 11
57 1 11
58 1 4
59 1 8
60 1 7
61 1 11
62 1 5
63 1 4
64 1 11
65 1 11
66 1 3
67 1 7
68 1 8
69 1 12
70 1 4
71 1 4
72 1 8
73 1 12
74 1 9
75 1 8
76 1 12
77 1 7
78 1 11
79 1 2
80 1 1
81 1 11
82 1 11
83 1 11
84 1 4
85 1 5
86 1 3
87 1 8
88 1 11
89 1 11
90 1 8
91 1 2
92 1 11
93 1 4
94 1 8
95 1 8
96 1 11
97 1 4
98 1 4
99 1 11
100 1 12
101 1 7
102 1 8
103 1 5
104 1 3
105 1 4
106 1 11
107 1 4
108 1 9
109 1 11
110 1 11
111 1 12
112 1 1
113 1 12
114 1 8
115 1 7
116 1 9
117 1 8
118 1 4
119 1 8
120 1 12
121 1 11
122 1 11
123 1 4
124 1 12
125 1 12
126 1 4
127 1 7
128 1 1
129 1 2
130 1 8
131 1 4
132 1 4
133 1 8
134 1 4
135 1 4
136 1 8
137 1 11
138 1 11
139 1 11
140 1 11
141 1 11
142 1 8
143 1 11
144 1 8
145 1 7
146 1 11
147 1 11
148 1 5
149 1 7
150 1 2
151 1 11
152 1 12
153 1 4
154 1 11
155 1 11
156 1 12
157 1 11
158 1 1
159 1 2
160 1 8
161 1 3
162 1 8
163 1 11
164 1 11
165 1 4
166 1 11
167 1 11
168 1 11
169 1 4
170 1 12
171 1 12
172 1 8
173 1 11
174 1 4
175 1 4
176 1 11
177 1 9
178 1 5
179 1 9
180 1 9
181 1 7
182 1 11
183 1 2
184 1 11
185 1 4
186 1 4
187 1 8
188 1 11
189 1 12
190 1 9
191 1 5
192 1 8
193 1 3
194 1 7
195 1 8
196 1 12
197 1 4
198 1 11
199 1 4
200 1 4
201 1 8
202 1 11
203 1 11
204 1 5
205 1 12
206 1 8
207 1 11
208 1 4
209 1 3
210 1 8
211 1 12
212 1 11
213 1 11
214 1 11
215 1 4
216 1 4
217 1 4
218 1 4
219 1 7
220 1 7
221 1 8
222 1 8
223 1 11
224 1 12
225 1 8
226 1 3
227 1 8
228 1 5
229 1 12
230 1 11
231 1 7
232 1 11
233 1 8
234 1 1
235 1 7
236 1 8
