nbCamions 996
Id_truck Arrival_time Length Width Height Max_weight Cost
0 62 135 25 30 25000 1500
1 57 135 25 29 27000 1500
2 11 135 25 29 25000 1500
3 57 135 25 29 27000 1500
4 62 135 25 30 25000 1500
5 28 135 25 29 24000 1500
6 63 135 25 29 25000 1500
7 62 135 25 30 25000 1500
8 18 135 25 30 24000 1500
9 13 135 25 29 25000 1500
10 18 135 25 30 24000 1500
11 28 135 25 30 25000 1500
12 63 135 25 29 24000 1500
13 67 135 25 29 24000 1500
14 61 135 25 28 25000 1500
15 67 135 25 30 25000 1500
16 18 135 25 30 24000 1500
17 67 135 25 30 25000 1500
18 56 135 25 29 24000 1500
19 56 135 25 29 25000 1500
20 25 135 25 30 25000 1500
21 26 135 25 30 24000 1500
22 57 135 25 30 25000 1500
23 57 135 25 30 25000 1500
24 8 135 25 30 25000 1500
25 64 135 25 31 28000 1500
26 60 135 25 30 25000 1500
27 62 135 25 29 24000 1500
28 57 135 25 30 25000 1500
29 27 135 25 30 24000 1500
30 57 135 25 30 25000 1500
31 57 135 25 30 25000 1500
32 54 135 25 29 25000 1500
33 19 135 25 28 25000 1500
34 64 135 25 30 25000 1500
35 54 135 25 29 25000 1500
36 27 135 25 29 24000 1500
37 22 135 25 30 24000 1500
38 61 135 25 28 25000 1500
39 64 135 25 29 24000 1500
40 67 135 25 29 24000 1500
41 8 135 25 30 25000 1500
42 64 135 25 30 25000 1500
43 57 135 25 29 24000 1500
44 20 135 25 30 25000 1500
45 20 135 25 29 24000 1500
46 25 135 25 30 25000 1500
47 27 135 25 30 25000 1500
48 57 135 25 28 25000 1500
49 53 135 25 30 25000 1500
50 28 135 25 30 25000 1500
51 26 135 25 29 24000 1500
52 54 135 25 30 25000 1500
53 54 135 25 29 24000 1500
54 54 135 25 30 25000 1500
55 55 135 25 30 25000 1500
56 55 135 25 30 25000 1500
57 13 135 25 30 24000 1500
58 61 135 25 29 24000 1500
59 21 135 25 29 25000 1500
60 15 135 25 29 24000 1500
61 12 135 25 30 25000 1500
62 61 135 25 30 25000 1500
63 25 135 25 30 25000 1500
64 25 135 25 30 25000 1500
65 28 135 25 30 25000 1500
66 54 135 25 29 24000 1500
67 60 135 25 29 24000 1500
68 13 135 25 30 25000 1500
69 56 135 25 28 25000 1500
70 55 135 25 29 24000 1500
71 53 135 25 30 25000 1500
72 61 135 25 30 25000 1500
73 28 135 25 30 25000 1500
74 19 135 25 29 25000 1500
75 67 135 25 30 25000 1500
76 25 135 25 29 24000 1500
77 12 135 25 30 25000 1500
78 20 135 25 30 25000 1500
79 15 135 25 30 25000 1500
80 20 135 25 30 25000 1500
81 27 135 25 30 24000 1500
82 53 135 25 29 24000 1500
83 22 135 25 30 25000 1500
84 61 135 25 29 27000 1500
85 61 135 25 29 25000 1500
86 21 135 25 29 24000 1500
87 29 135 25 31 28000 1500
88 67 135 25 30 25000 1500
89 60 135 25 30 25000 1500
90 8 135 25 30 25000 1500
91 18 135 25 29 25000 1500
92 25 135 25 30 25000 1500
93 11 135 25 30 25000 1500
94 63 135 25 29 25000 1500
95 60 135 25 30 25000 1500
96 19 135 25 30 25000 1500
97 54 135 25 30 25000 1500
98 19 135 25 30 25000 1500
99 29 135 25 29 24000 1500
100 11 135 25 30 25000 1500
101 11 135 25 30 25000 1500
102 15 135 25 30 25000 1500
103 12 135 25 31 28000 1500
104 22 135 25 31 28000 1500
105 67 135 25 30 25000 1500
106 22 135 25 30 25000 1500
107 19 135 25 29 25000 1500
108 12 135 25 30 25000 1500
109 22 135 25 29 24000 1500
110 60 135 25 28 25000 1500
111 26 135 25 29 25000 1500
112 60 135 25 28 25000 1500
113 29 135 25 30 25000 1500
114 53 135 25 30 25000 1500
115 26 135 25 29 24000 1500
116 26 135 25 30 24000 1500
117 18 135 25 29 25000 1500
118 28 135 25 29 24000 1500
119 25 135 25 29 24000 1500
120 56 135 25 29 25000 1500
121 53 135 25 29 24000 1500
122 20 135 25 30 25000 1500
123 20 135 25 30 25000 1500
124 56 135 25 30 25000 1500
125 55 135 25 30 25000 1500
126 64 135 25 29 27000 1500
127 62 135 25 30 25000 1500
128 29 135 25 30 25000 1500
