nbObjets 1391
Id_item Supplier_code Length Width Height Weight Stackability_code Earliest_arrival_time Latest_arrival_time Inventory_cost
0 43 12 10 9 836 3 50 55 310
1 3 12 10 3 123 2 20 23 280
2 26 12 10 9 154 3 10 15 20
3 19 12 10 2 169 2 59 64 510
4 42 12 10 7 971 3 1 6 190
5 29 12 10 6 587 2 63 66 250
6 8 12 10 7 895 3 57 62 150
7 1 12 10 8 1658 1 63 70 170
8 20 12 10 9 932 3 57 62 310
9 45 12 10 9 537 3 52 57 130
10 25 12 10 10 965 3 63 66 210
11 20 12 10 9 933 3 17 22 330
12 32 12 10 11 221 2 58 63 150
13 2 12 10 9 429 2 16 21 2730
14 26 12 10 9 155 3 57 62 20
15 17 12 10 4 109 5 7 10 600
16 44 11 9 8 269 7 69 72 290
17 18 12 10 9 168 3 14 17 40
18 18 12 10 11 248 2 57 62 310
19 31 12 10 4 458 2 49 53 360
20 28 12 10 9 238 3 21 22 1940
21 3 12 10 11 597 2 20 23 280
22 17 12 10 4 134 5 65 70 220
23 45 12 10 9 701 3 50 55 500
24 28 12 10 9 238 3 20 21 2250
25 25 12 10 10 965 3 56 59 210
26 20 12 10 9 933 3 8 8 330
27 18 12 10 9 193 3 17 22 50
28 18 12 10 9 193 3 70 73 50
29 17 12 10 4 134 5 16 21 220
30 11 12 10 3 82 2 52 57 1240
31 45 12 10 9 537 3 57 62 130
32 10 12 10 9 770 3 55 58 340
33 12 7 5 4 299 4 63 66 70
34 45 12 10 9 701 3 14 17 500
35 36 12 10 9 426 3 57 62 800
36 14 12 10 11 424 2 15 20 850
37 22 12 10 9 178 3 13 20 70
38 12 7 5 4 342 4 49 52 80
39 10 12 10 9 967 3 57 62 400
40 30 12 10 9 814 3 63 70 100
41 1 12 10 8 1785 1 56 63 200
42 7 12 10 11 113 5 51 56 750
43 26 12 10 9 154 3 63 66 20
44 8 12 10 7 895 3 23 23 150
45 10 12 10 9 967 3 58 63 400
46 18 12 10 9 162 3 3 8 210
47 2 12 10 7 327 2 70 73 2730
48 11 12 10 3 229 2 52 57 3100
49 5 12 10 9 453 3 8 13 190
50 45 12 10 9 685 3 52 57 440
51 10 12 10 7 754 3 21 21 300
52 3 12 10 11 307 2 20 23 210
53 31 12 10 13 897 2 49 53 180
54 40 12 10 7 987 3 52 57 120
55 43 12 10 9 836 3 71 76 310
56 14 12 10 11 442 2 62 65 750
57 31 12 10 2 148 2 21 25 230
58 36 12 10 9 426 3 64 69 800
59 8 12 10 7 895 3 58 63 150
60 38 12 10 10 122 2 22 48 200
61 42 12 10 7 990 3 22 48 190
62 45 12 10 9 685 3 62 65 440
63 25 12 10 10 965 3 10 15 210
64 12 12 10 7 831 2 51 56 240
65 22 12 10 9 173 3 62 69 90
66 6 12 10 7 894 3 62 65 110
67 1 12 10 8 1658 1 59 66 170
68 12 7 5 4 342 4 14 17 80
69 20 12 10 9 933 3 66 71 330
70 31 12 10 4 458 2 70 74 360
71 24 12 10 9 225 3 23 51 50
72 3 12 10 11 542 2 62 65 450
73 3 12 10 2 124 2 62 65 510
74 18 12 10 9 168 3 50 55 40
75 7 12 10 2 30 5 65 70 1610
76 8 12 10 7 895 3 64 69 150
77 26 12 10 9 155 3 1 6 20
78 3 12 10 6 703 2 13 16 210
79 5 12 10 9 453 3 8 13 190
80 18 12 10 9 193 3 66 71 50
81 13 12 10 2 168 2 6 9 3000
82 13 12 10 2 168 2 13 16 3000
83 13 12 10 6 670 2 16 16 170
84 32 12 10 11 221 2 70 73 150
85 20 12 10 9 933 3 13 16 330
86 45 12 10 9 537 3 20 23 130
87 35 12 10 7 591 3 66 71 60
88 4 12 10 7 1013 3 15 20 150
89 44 11 9 8 269 7 22 48 290
90 12 7 5 4 342 4 70 73 80
91 40 12 10 7 980 3 59 64 140
92 14 12 10 11 424 2 64 69 850
93 1 12 10 8 1785 1 21 49 200
94 29 12 10 6 587 2 56 59 250
95 3 12 10 11 381 2 55 58 230
96 42 12 10 7 971 3 57 62 190
97 19 12 10 2 169 2 17 22 510
98 42 12 10 7 990 3 6 6 190
99 6 12 10 7 745 3 20 23 90
100 18 12 10 9 199 3 63 66 60
101 18 12 10 9 168 3 8 13 40
102 45 12 10 9 537 3 10 15 130
103 12 12 10 5 516 5 14 17 150
104 3 12 10 7 330 2 69 72 840
105 20 12 10 9 932 3 8 8 310
106 12 7 5 4 342 4 7 10 80
107 20 12 10 9 932 3 15 20 310
108 30 12 10 11 726 2 7 14 100
109 31 12 10 3 311 2 21 25 240
110 8 12 10 7 895 3 48 51 150
111 26 12 10 9 155 3 64 69 20
112 40 12 10 7 980 3 52 57 140
113 42 12 10 7 971 3 48 51 190
114 42 12 10 7 982 3 71 76 200
115 27 12 10 9 890 3 15 20 420
116 17 12 10 4 109 5 14 17 600
117 13 12 10 2 168 2 6 9 3000
118 8 12 10 7 895 3 70 73 150
119 8 12 10 7 895 3 65 70 150
120 8 12 10 7 895 3 16 16 150
121 10 12 10 9 770 3 13 16 340
122 20 12 10 9 932 3 64 69 310
123 18 12 10 9 168 3 71 76 40
124 10 12 10 9 967 3 22 48 400
125 16 12 10 6 542 2 48 51 870
126 42 12 10 6 588 2 50 55 170
127 40 12 10 7 987 3 10 15 120
128 26 12 10 9 154 3 56 59 20
129 12 7 5 4 342 4 16 21 80
130 40 12 10 7 987 3 10 15 120
131 8 12 10 7 895 3 17 17 150
132 23 12 10 9 690 3 66 73 130
133 22 12 10 9 178 3 69 76 90
134 10 12 10 9 770 3 71 76 340
135 31 12 10 5 252 2 21 25 160
136 8 12 10 7 895 3 69 72 150
137 10 12 10 9 967 3 16 21 400
138 10 12 10 9 967 3 15 20 400
139 28 12 10 9 238 3 9 10 2250
140 36 12 10 9 426 3 15 20 800
141 41 12 10 9 557 3 58 63 80
142 17 12 10 4 109 5 49 52 600
143 18 12 10 9 193 3 7 10 50
144 42 12 10 7 971 3 22 48 190
145 8 12 10 7 919 3 70 73 170
146 42 12 10 2 165 2 57 62 90
147 26 12 10 9 154 3 21 24 20
148 20 12 10 9 932 3 62 65 310
149 3 12 10 11 307 2 62 65 210
150 40 12 10 7 980 3 22 22 140
151 3 12 10 11 542 2 20 23 450
152 29 12 10 8 908 2 14 17 340
153 6 12 10 7 894 3 20 23 110
154 42 12 10 6 588 2 8 13 170
155 45 12 10 9 701 3 55 58 500
156 12 7 5 4 299 4 9 14 70
157 29 12 10 8 908 2 51 56 340
158 32 12 10 11 221 2 65 70 150
159 45 12 10 9 701 3 24 50 500
160 42 12 10 3 119 2 62 65 5550
161 20 12 10 9 933 3 8 13 330
162 4 12 10 7 1013 3 24 50 150
163 44 11 9 8 269 7 48 51 290
164 44 11 9 8 269 7 57 62 290
165 18 12 10 9 193 3 49 52 50
166 34 12 10 9 951 3 14 21 290
167 1 12 10 8 1785 1 52 59 200
168 8 12 10 7 919 3 56 59 170
169 31 12 10 4 458 2 7 11 360
170 40 12 10 7 987 3 15 20 120
171 20 12 10 9 933 3 55 58 330
172 15 12 10 7 949 3 62 69 120
173 45 12 10 9 537 3 64 69 130
174 7 12 10 3 51 5 70 73 2550
175 13 12 10 2 168 2 55 58 2100
176 45 12 10 9 537 3 62 65 130
177 7 12 10 2 77 5 23 49 1460
178 18 12 10 9 193 3 3 8 50
179 7 12 10 7 373 5 63 66 1290
180 44 12 10 9 285 2 20 23 350
181 13 12 10 2 43 2 48 51 1280
182 31 12 10 13 897 2 21 25 170
183 42 12 10 11 796 2 62 65 220
184 23 12 10 9 690 3 17 17 130
185 45 12 10 9 537 3 63 66 130
186 5 12 10 9 453 3 71 76 190
187 40 12 10 7 987 3 52 57 120
188 1 12 10 8 936 1 58 65 90
189 42 12 10 7 982 3 55 58 200
190 5 12 10 9 453 3 62 65 190
191 45 12 10 9 685 3 63 66 440
192 45 12 10 9 685 3 51 56 440
193 10 12 10 9 838 3 9 14 460
194 42 12 10 7 971 3 6 9 190
195 36 12 10 9 426 3 65 70 800
196 5 12 10 9 453 3 71 76 190
197 42 12 10 7 971 3 15 20 190
198 12 7 5 4 342 4 7 10 80
199 13 12 10 2 83 2 55 58 2580
200 26 12 10 9 154 3 15 20 20
201 45 12 10 9 537 3 69 72 130
202 6 12 10 7 745 3 16 21 90
203 45 12 10 9 537 3 16 21 130
204 20 12 10 9 933 3 62 65 330
205 19 12 10 3 320 2 52 57 1020
206 20 12 10 9 619 3 55 58 260
207 27 12 10 9 890 3 20 23 420
208 6 12 10 7 745 3 15 20 90
209 40 12 10 7 987 3 64 69 120
210 7 12 10 4 195 5 65 70 4380
211 41 12 10 9 557 3 16 21 80
212 6 12 10 7 894 3 55 58 110
213 20 12 10 9 932 3 20 23 310
214 8 12 10 7 919 3 69 72 170
215 42 12 10 2 165 2 15 20 90
216 26 12 10 9 155 3 21 24 20
217 20 12 10 9 933 3 9 9 330
218 31 12 10 3 143 2 49 53 30
219 42 12 10 3 162 2 6 9 7980
220 25 12 10 10 965 3 52 57 210
221 7 12 10 11 90 5 49 52 740
222 35 12 10 7 591 3 59 64 60
223 17 12 10 4 134 5 23 49 220
224 41 12 10 9 557 3 65 70 80
225 31 12 10 3 46 2 70 74 270
226 29 12 10 6 587 2 9 14 250
227 30 12 10 9 814 3 7 14 100
228 31 12 10 13 891 2 14 18 140
229 7 12 10 11 114 5 51 56 1250
230 4 12 10 7 1013 3 59 64 150
231 44 11 9 8 269 7 15 20 290
232 18 12 10 9 199 3 10 15 60
233 8 12 10 7 895 3 49 52 150
234 16 12 10 6 542 2 55 58 870
235 30 12 10 9 814 3 21 49 100
236 5 12 10 9 453 3 62 65 190
237 20 12 10 9 932 3 50 55 310
238 45 12 10 9 685 3 56 59 440
239 2 12 10 11 586 2 14 17 660
240 45 12 10 9 537 3 48 51 130
241 36 12 10 9 426 3 22 48 800
242 44 12 10 9 283 2 50 55 370
243 42 12 10 7 990 3 64 69 190
244 22 12 10 9 178 3 13 20 90
245 13 12 10 2 105 2 6 9 3140
246 2 12 10 11 532 2 58 63 4550
247 10 12 10 9 770 3 23 49 340
248 42 12 10 6 588 2 55 58 170
249 10 12 10 9 967 3 48 51 400
250 16 12 10 6 542 2 69 72 870
251 8 12 10 7 895 3 65 70 150
252 1 12 10 8 936 1 20 48 90
253 7 12 10 11 114 5 7 10 1250
254 30 12 10 9 814 3 56 63 100
255 38 12 10 10 122 2 1 6 200
256 31 12 10 3 278 2 56 60 460
257 23 12 10 9 690 3 49 56 130
258 23 12 10 9 690 3 17 24 130
259 26 12 10 11 143 2 3 8 220
260 31 12 10 3 147 2 7 11 70
261 1 12 10 8 936 1 51 58 90
262 14 12 10 11 424 2 20 23 850
263 29 12 10 6 587 2 21 24 250
264 42 12 10 6 588 2 62 65 170
265 15 12 10 7 949 3 55 62 120
266 24 12 10 3 49 2 51 58 250
267 22 12 10 9 178 3 55 62 90
268 30 12 10 9 814 3 14 21 100
269 2 12 10 11 322 2 23 49 580
270 10 12 10 7 754 3 16 16 300
271 12 7 5 4 299 4 51 56 70
272 7 12 10 11 114 5 49 52 1250
273 22 12 10 9 178 3 48 55 70
274 20 12 10 9 933 3 59 64 330
275 26 12 10 9 155 3 59 64 20
276 3 12 10 11 597 2 62 65 280
277 14 12 10 11 424 2 22 48 850
278 34 12 10 9 951 3 49 56 290
279 18 12 10 9 168 3 3 8 40
280 13 12 10 2 86 2 48 51 2380
281 45 12 10 9 537 3 15 20 130
282 10 12 10 7 754 3 20 20 300
283 8 12 10 7 919 3 57 62 170
284 42 12 10 7 990 3 15 20 190
285 42 12 10 11 773 2 6 9 210
286 28 12 10 9 238 3 9 10 1940
287 8 12 10 7 895 3 22 48 150
288 32 12 10 11 221 2 49 52 150
289 18 12 10 9 193 3 59 64 50
290 36 12 10 9 426 3 58 63 800
291 45 12 10 9 537 3 59 64 130
292 31 12 10 13 897 2 56 60 170
293 10 12 10 7 754 3 56 56 300
294 20 12 10 9 932 3 8 13 310
295 30 12 10 11 696 2 56 63 100
296 12 7 5 4 299 4 56 59 70
297 7 12 10 11 114 5 14 17 1250
298 33 12 10 11 720 2 21 49 490
299 45 12 10 9 701 3 66 71 500
300 24 12 10 9 225 3 65 72 50
301 22 12 10 9 178 3 55 62 70
302 14 12 10 11 424 2 57 62 850
303 28 12 10 9 238 3 16 17 1940
304 15 12 10 7 949 3 62 69 120
305 13 12 10 2 86 2 62 65 1360
306 10 12 10 9 967 3 65 70 400
307 32 12 10 11 221 2 7 10 150
308 2 12 10 11 586 2 51 56 660
309 23 12 10 9 690 3 10 10 130
310 10 12 10 7 754 3 63 63 300
311 45 12 10 9 685 3 20 23 440
